Status Response: [00 01 11 15 7f 00 78 01 27 00] (?: 00,?: 01, Error code: 11, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 27 00)
Status Response: [00 01 11 15 7f 00 78 01 27 00] (?: 00,?: 01, Error code: 11, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 27 00)
Status Response: [00 01 11 15 7f 00 78 01 27 00] (?: 00,?: 01, Error code: 11, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 27 00)
Status Response: [00 01 11 15 7f 00 78 01 27 00] (?: 00,?: 01, Error code: 11, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 27 00)
Status Response: [00 01 11 15 7f 00 78 01 27 00] (?: 00,?: 01, Error code: 11, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 27 00)
Status Response: [00 01 11 15 7f 00 78 01 27 00] (?: 00,?: 01, Error code: 11, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 27 00)
Status Response: [00 01 11 15 7f 00 78 01 27 00] (?: 00,?: 01, Error code: 11, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 27 00)
Status Response: [00 01 11 15 7f 00 78 01 27 00] (?: 00,?: 01, Error code: 11, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 27 00)
Status Response: [00 01 11 15 7f 00 78 01 27 00] (?: 00,?: 01, Error code: 11, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 27 00)
Status Response: [00 01 11 15 7f 00 78 01 27 00] (?: 00,?: 01, Error code: 11, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 27 00)
Status Response: [00 01 11 15 7f 00 78 01 27 00] (?: 00,?: 01, Error code: 11, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 27 00)
Status Response: [00 01 11 15 7f 00 78 01 27 00] (?: 00,?: 01, Error code: 11, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 27 00)
Status Response: [00 01 11 15 7f 00 78 01 27 00] (?: 00,?: 01, Error code: 11, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 27 00)
unknown packet (crc ok):  aa 03 06 00 01 ff ff 04 0f 00 05
unknown packet (crc ok):  aa 04 06 00 01 00 78 04 0f 00 05
unknown packet (crc ok):  aa 03 06 00 01 ff ff 04 0f 00 05
unknown packet (crc ok):  aa 04 06 00 01 00 78 04 0f 00 05
Status Response: [01 00 00 15 7f 00 78 01 26 01] (?: 01,?: 00, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 01)
Status Response: [01 00 00 15 7f 00 72 01 26 01] (?: 01,?: 00, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.4V, ?: 01 26 01)
Status Response: [02 00 00 15 7f 00 78 01 26 01] (?: 02,?: 00, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 01)
Status Response: [02 00 00 15 7f 00 78 01 26 01] (?: 02,?: 00, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 01)
Status Response: [02 00 00 15 7f 00 78 01 26 01] (?: 02,?: 00, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 01)
Status Response: [02 00 00 15 7f 00 75 01 26 01] (?: 02,?: 00, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.7V, ?: 01 26 01)
Status Response: [02 00 00 15 7f 00 77 01 26 01] (?: 02,?: 00, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 11.9V, ?: 01 26 01)
Status Response: [02 00 00 15 7f 00 61 01 26 01] (?: 02,?: 00, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 9.7V,  ?: 01 26 01)
Status Response: [02 00 00 15 7f 00 6c 01 26 01] (?: 02,?: 00, Error code: 00, Temp: 21°C, ?: 7f 00, Voltage: 10.8V, ?: 01 26 01)
